,max_mf_y,max_mf_z,max_ig_y,max_ig_z,var_mf,var_ig,var_mf_multi,size_mf,var_ig_multi,size_ig
0,33,30,26,35,91110.93990742887,49885.5299128517,101050.9308387024,78,138486.73630517448,114
1,25,19,19,8,27779.790322283206,47569.18103109937,88608.30543213405,91,213141.9149233459,292
2,20,28,22,38,93191.6902515375,32186.05721704916,130775.22058588661,108,182826.27866733717,249
3,19,20,18,31,225252.9093256415,205719.2270297841,221642.4887907609,144,227299.24931394574,338
4,26,20,26,21,15652.130986122569,27810.908932394974,80021.76031019367,95,57040.24459255155,90
5,32,31,18,20,79222.1355314708,117559.82409466268,112410.93286353422,100,124651.67515673369,118
6,18,24,18,23,51598.80580783262,52058.59455224241,59212.48599420029,88,81644.73045879326,123
7,26,20,26,21,15806.939218279882,27810.908932394974,82263.3944714434,96,57040.24459255155,90
8,30,24,25,40,96360.89305754517,116638.57190912447,127075.34776777252,177,172567.19207757612,166
9,24,22,24,22,36652.88715738425,22930.43135092719,66602.52823329488,109,72125.26849956074,120
10,18,33,22,22,89527.64447197897,31690.220228043956,101654.22404877502,161,53593.61620475495,140
11,18,33,22,22,90318.12712410404,31165.306853314323,101654.22404877502,161,53593.61620475495,140
12,28,24,27,25,73973.70979525123,51607.89240838966,165128.6886053018,94,80877.84384385316,114
13,28,24,27,25,73427.39980035424,51125.54384904762,154826.5978724781,90,80877.84384385316,114
14,22,23,18,27,28638.221740655634,33260.29715982142,34893.69445268578,72,101090.2155623071,149
15,28,26,27,27,54905.27758040454,109334.33881891637,69649.90369461122,93,172645.8397255036,283
16,18,24,18,23,53279.18044465612,50493.67475841977,60952.89569337108,84,81644.73045879326,123
17,30,30,18,0,23759.920975911344,38119.89379350039,45544.398028715885,63,157334.24626661077,76
18,30,21,22,10,293345.51074679516,26479.10733128262,300110.9310073048,127,224086.13791231147,264
19,18,33,22,22,71953.20301036794,27170.227932205387,86839.5008483069,147,53593.61620475495,140
20,32,31,18,20,77022.0838319953,116629.06536225573,112101.58070545213,101,124651.67515673369,118
21,30,21,22,10,265624.0378419234,20793.99531743004,301155.80755614286,117,221125.84656840377,254
22,30,21,22,10,238659.73944509367,19800.645242011684,294246.0600690242,158,226860.16846443008,268
23,18,24,18,23,52790.17022087326,49193.07106859287,60301.155846875365,85,76491.49723302921,122
24,24,22,24,22,37266.377439637436,22941.69139336233,69344.49365181873,117,72125.26849956074,120
25,30,24,25,40,92006.18935725722,113147.31250352993,127105.61515889311,171,172567.19207757612,166
26,30,30,18,0,23759.920975911344,38119.89379350039,66305.17285112062,68,157334.24626661077,76
27,22,23,18,27,29683.24568272223,33043.5154898347,34713.763086310384,71,104585.83012499812,153
28,33,30,26,35,90039.46681550627,49959.195561354136,100427.50290583368,75,193936.16549528323,153
29,18,27,18,27,29683.24568272223,33043.5154898347,34248.47663577703,79,102578.1913098805,148
30,28,20,21,19,36873.804467372654,133673.8331342797,86670.16204022728,63,140654.8030516267,34
31,28,20,21,19,36873.804467372654,133673.8331342797,86670.16204022728,63,143188.92266387463,33
32,30,21,22,10,297009.78920524457,26479.10733128262,296872.35770442017,114,202099.5451000324,236
33,24,22,24,22,36652.88715738425,22930.43135092719,69822.63816370118,117,69109.75148207469,118
34,22,19,28,29,22723.16777698041,24916.579549408816,238897.68852397098,136,48027.822994235576,70
35,31,29,26,21,111758.38771195234,94780.77464858574,183336.44054545334,163,176961.21795867555,298
36,32,31,18,20,79222.1355314708,117559.82409466268,112101.58070545213,101,124651.67515673369,118
37,33,30,26,35,86854.07575275387,33453.315164145104,99403.45933965336,87,108585.09853819128,90
38,24,22,24,22,36652.88715738425,22930.43135092719,65276.05343068198,108,68680.98790502276,116
39,28,26,27,27,55756.05439088273,105545.85766317707,70329.4984840042,89,172645.8397255036,283
40,22,27,24,33,28836.781005253077,13628.823639805645,199920.04798071104,90,216083.46455473924,247
41,24,22,24,22,36652.88715738425,22930.43135092719,69867.71268796435,115,69109.75148207469,118
42,28,24,27,25,80678.1026879854,53632.163689557914,161181.95586716305,93,80877.84384385316,114
43,30,21,22,10,238659.73944509367,19800.645242011684,272151.25761602295,146,224238.6003540942,263
44,26,20,26,21,15806.939218279882,27810.908932394974,84965.89541585282,95,57040.24459255155,90
45,26,20,26,21,15652.130986122569,27810.908932394974,85631.77212763275,97,57040.24459255155,90
46,26,20,26,21,14300.247869513936,27258.613484279376,80021.76031019367,95,57040.24459255155,90
47,22,23,18,27,29146.96882400045,33260.29715982142,34713.763086310384,71,80277.38889061412,134
48,30,30,18,0,23759.920975911344,38119.89379350039,45544.398028715885,63,159534.1792542754,79
49,22,23,18,27,29146.96882400045,33260.29715982142,34713.763086310384,71,77537.92373079297,132
